full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,scraped_at
Samuel Ortiz,Samuel,Ortiz,samuelortiz25@aol.com,(202) 533-6547,Coldwell Banker,Denver,CO,Denver,CO532441,CO,12,60,33000000,98,A,A,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
Joseph Cruz,Joseph,Cruz,josephcruz@aol.com,(314) 928-5090,Redfin,San Antonio,TX,San Antonio,TX821468,TX,2,18,6300000,75,B,B,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Katherine Lewis,Katherine,Lewis,katherine.lewis@aol.com,(414) 687-4136,Berkshire Hathaway HomeServices,Richmond,VA,Richmond,VA564313,VA,6,10,3750000,67,B,B,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Brenda Hall,Brenda,Hall,brenda.hall@coldwellbanker.com,(407) 752-5311,Redfin,Bend,OR,Bend,OR112441,OR,5,8,4000000,63,C,C,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Matthew Sanchez,Matthew,Sanchez,msanchez@homesmart.com,(216) 552-3749,Corcoran Global Living,Philadelphia,PA,Philadelphia,PA411290,PA,7,35,10150000,100,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Helen Mendoza,Helen,Mendoza,helenmendoza87@homesmart.com,(509) 946-3256,RE/MAX,San Diego,CA,San Diego,CA754237,CA,6,12,9000000,81,A,A,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Carol Morris,Carol,Morris,carol.morris@homesmart.com,(901) 920-5675,Redfin,Austin,TX,Austin,TX447859,TX,8,16,5600000,83,A,A,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Timothy Cooper,Timothy,Cooper,tcooper@century21.com,(617) 980-3850,HomeSmart,St. Louis,MO,St. Louis,MO838264,MO,8,10,2600000,87,B,B,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Kathleen Sanchez,Kathleen,Sanchez,kathleen.sanchez@sothebysrealty.com,(512) 257-3626,Corcoran Global Living,Wichita,KS,Wichita,KS506627,KS,4,3,600000,84,C,C,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Shirley Sanchez,Shirley,Sanchez,shirley_sanchez@yahoo.com,(504) 334-1542,Keller Williams,Phoenix,AZ,Phoenix,AZ264071,AZ,5,30,13500000,85,A,A,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Nicole Flores,Nicole,Flores,nicole_flores@gmail.com,(502) 538-6983,Coldwell Banker,Denver,CO,Denver,CO284948,CO,7,35,19250000,100,A,A,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Paul Garcia,Paul,Garcia,paul.garcia@homesmart.com,(405) 202-9811,Weichert Realtors,Houston,TX,Houston,TX214788,TX,8,12,4200000,68,A,A,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Barbara Collins,Barbara,Collins,barbara_collins@exp.com,(317) 426-1679,Sotheby's International Realty,Milwaukee,WI,Milwaukee,WI219282,WI,8,15,4125000,85,B,B,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Michelle Taylor,Michelle,Taylor,mtaylor@kw.com,(215) 339-8679,CBRE,Nashville,TN,Nashville,TN775962,TN,12,40,12800000,80,A,A,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Gregory Hughes,Gregory,Hughes,gregoryhughes@kw.com,(215) 294-3277,Better Homes and Gardens Real Estate,Cincinnati,OH,Cincinnati,OH719212,OH,10,18,4500000,85,B,B,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Kenneth Stewart,Kenneth,Stewart,kstewart@realtor.com,(602) 830-1840,ERA Real Estate,Fort Wayne,IN,Fort Wayne,IN166165,IN,6,8,1920000,65,C,C,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Jennifer Ruiz,Jennifer,Ruiz,jenniferruiz@century21.com,(602) 510-1258,Berkshire Hathaway HomeServices,Oklahoma City,OK,Oklahoma City,OK139877,OK,1,8,1680000,77,B,B,3.0,realtor_scraper,2026-05-02T07:06:13+00:00
Mark Rivera,Mark,Rivera,markrivera@coldwellbanker.com,(615) 799-7450,Sotheby's International Realty,Tucson,AZ,Tucson,AZ770980,AZ,4,12,5400000,81,B,B,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Kimberly Green,Kimberly,Green,kimberly.green@exp.com,(614) 676-2441,Realty ONE Group,Las Vegas,NV,Las Vegas,NV156854,NV,2,22,9350000,92,B,B,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Christopher Taylor,Christopher,Taylor,christophertaylor@outlook.com,(213) 480-5493,Local Brokerage,Boston,MA,Boston,MA710494,MA,8,40,26000000,100,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Laura Martinez,Laura,Martinez,lauramartinez@yahoo.com,(602) 747-4573,Realty ONE Group,Orlando,FL,Orlando,FL637410,FL,3,4,1600000,69,B,B,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
George Robinson,George,Robinson,george_robinson@remax.com,(205) 851-6172,Corcoran Global Living,Philadelphia,PA,Philadelphia,PA670316,PA,8,16,4640000,80,A,A,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Justin Rivera,Justin,Rivera,jrivera@compass.com,(951) 292-7034,Coldwell Banker,New York,NY,New York,NY756530,NY,8,40,34000000,100,A,A,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Brenda Davis,Brenda,Davis,brenda_davis@compass.com,(602) 546-5020,Windermere Real Estate,San Jose,CA,San Jose,CA684884,CA,6,16,12000000,77,A,A,4.6,realtor_scraper,2026-05-02T07:06:13+00:00
Matthew Cook,Matthew,Cook,matthewcook96@realtor.com,(916) 566-7685,Weichert Realtors,Miami,FL,Miami,FL683610,FL,7,12,4800000,85,A,A,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Amanda Murphy,Amanda,Murphy,amandamurphy@aol.com,(423) 424-8673,eXp Realty,Minneapolis,MN,Minneapolis,MN639437,MN,7,25,8750000,80,A,A,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Larry Lee,Larry,Lee,larry_lee@coldwellbanker.com,(505) 232-2754,Keller Williams,Fresno,CA,Fresno,CA657276,CA,1,15,11250000,68,B,B,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Anthony Robinson,Anthony,Robinson,anthonyrobinson@aol.com,(585) 431-5608,eXp Realty,Richmond,VA,Richmond,VA874764,VA,3,4,1500000,63,B,B,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Donald Garcia,Donald,Garcia,donald.garcia@sothebysrealty.com,(410) 282-4145,CBRE,Philadelphia,PA,Philadelphia,PA435337,PA,7,35,10150000,94,A,A,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Carol Ward,Carol,Ward,cward@kw.com,(312) 453-6131,Zillow Premier Agent,Greenville,SC,Greenville,SC908906,SC,3,8,2320000,82,C,C,3.4,realtor_scraper,2026-05-02T07:06:13+00:00
Sandra Hughes,Sandra,Hughes,sandra_hughes@kw.com,(515) 693-1160,Redfin,Fort Collins,CO,Fort Collins,CO638629,CO,7,12,6600000,83,C,C,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Larry Bailey,Larry,Bailey,larrybailey@outlook.com,(951) 422-7403,eXp Realty,Philadelphia,PA,Philadelphia,PA688605,PA,12,12,3480000,86,A,A,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Michael Brooks,Michael,Brooks,michael_brooks@kw.com,(515) 224-2247,Century 21,Bend,OR,Bend,OR365477,OR,4,3,1500000,74,C,C,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
George Thompson,George,Thompson,george.thompson@sothebysrealty.com,(206) 752-2241,Corcoran Global Living,Fresno,CA,Fresno,CA872828,CA,7,8,6000000,86,B,B,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Christopher Martinez,Christopher,Martinez,christopher.martinez@sothebysrealty.com,(559) 607-6902,HomeSmart,Indianapolis,IN,Indianapolis,IN840551,IN,5,12,2880000,66,B,B,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Sarah Williams,Sarah,Williams,sarahwilliams@kw.com,(305) 257-6307,ERA Real Estate,Fayetteville,AR,Fayetteville,AR424500,AR,4,6,1170000,79,C,C,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Angela Gray,Angela,Gray,angelagray@compass.com,(202) 557-6717,Windermere Real Estate,Dallas,TX,Dallas,TX519821,TX,7,20,7000000,81,A,A,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Amanda Hill,Amanda,Hill,ahill@realtor.com,(408) 459-5715,Local Brokerage,Pittsburgh,PA,Pittsburgh,PA471076,PA,6,15,4350000,71,B,B,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Timothy Scott,Timothy,Scott,tscott@hotmail.com,(951) 366-9053,RE/MAX,Seattle,WA,Seattle,WA906489,WA,4,35,21000000,98,A,A,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Katherine Morales,Katherine,Morales,katherine_morales@outlook.com,(314) 980-8912,Local Brokerage,Reno,NV,Reno,NV176011,NV,2,3,1275000,67,C,C,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Amanda Perez,Amanda,Perez,amanda.perez@exp.com,(602) 819-7691,Better Homes and Gardens Real Estate,Phoenix,AZ,Phoenix,AZ511040,AZ,6,40,18000000,91,A,A,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Timothy Hernandez,Timothy,Hernandez,timothyhernandez13@realtor.com,(816) 703-9450,eXp Realty,Bend,OR,Bend,OR326171,OR,6,10,5000000,81,C,C,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Jeffrey Nguyen,Jeffrey,Nguyen,jeffreynguyen89@compass.com,(405) 326-6889,HomeSmart,New York,NY,New York,NY906586,NY,2,25,21250000,83,A,A,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Samuel Reyes,Samuel,Reyes,samuelreyes90@gmail.com,(214) 872-7194,ERA Real Estate,Kansas City,MO,Kansas City,MO281526,MO,10,35,9100000,87,B,B,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Eric Carter,Eric,Carter,ecarter@kw.com,(210) 858-6815,Redfin,Des Moines,IA,Des Moines,IA316176,IA,3,28,5740000,81,C,C,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Ronald Sanchez,Ronald,Sanchez,rsanchez@coldwellbanker.com,(615) 669-7641,Corcoran Global Living,Minneapolis,MN,Minneapolis,MN597544,MN,5,40,14000000,78,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Gregory Gonzalez,Gregory,Gonzalez,gregory_gonzalez@homesmart.com,(619) 750-8221,Sotheby's International Realty,Kansas City,MO,Kansas City,MO478802,MO,8,12,3120000,75,B,B,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Brandon Turner,Brandon,Turner,brandon_turner@compass.com,(215) 563-8368,Berkshire Hathaway HomeServices,Jackson,MS,Jackson,MS962361,MS,5,28,5040000,71,C,C,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Rebecca Nelson,Rebecca,Nelson,rebeccanelson87@sothebysrealty.com,(804) 300-1297,RE/MAX,Seattle,WA,Seattle,WA761975,WA,6,25,15000000,87,A,A,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Matthew Roberts,Matthew,Roberts,matthewroberts@realtor.com,(617) 423-5269,Zillow Premier Agent,Denver,CO,Denver,CO186544,CO,4,16,8800000,88,A,A,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
Jacob Wilson,Jacob,Wilson,jacobwilson@remax.com,(719) 646-3718,Compass,San Jose,CA,San Jose,CA162932,CA,4,30,22500000,82,A,A,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
James Green,James,Green,james_green@coldwellbanker.com,(615) 794-2239,Realty ONE Group,San Antonio,TX,San Antonio,TX245275,TX,12,8,2800000,82,B,B,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
Patricia Cooper,Patricia,Cooper,patriciacooper@outlook.com,(404) 471-1988,CBRE,Portland,OR,Portland,OR898364,OR,2,40,20000000,95,A,A,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Edward Davis,Edward,Davis,edward.davis@kw.com,(901) 712-7269,Coldwell Banker,Phoenix,AZ,Phoenix,AZ728399,AZ,7,20,9000000,88,A,A,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Charles Gonzalez,Charles,Gonzalez,charles.gonzalez@outlook.com,(704) 931-3178,Berkshire Hathaway HomeServices,Columbus,OH,Columbus,OH587081,OH,5,35,8750000,91,B,B,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Rachel Thomas,Rachel,Thomas,rachelthomas@yahoo.com,(212) 981-7238,Berkshire Hathaway HomeServices,Nashville,TN,Nashville,TN889753,TN,5,12,3840000,82,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Amanda Mendoza,Amanda,Mendoza,amanda.mendoza@exp.com,(804) 335-1487,Redfin,Denver,CO,Denver,CO249077,CO,7,60,33000000,96,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Ryan Brooks,Ryan,Brooks,ryan.brooks@outlook.com,(502) 901-5945,Local Brokerage,Shreveport,LA,Shreveport,LA115413,LA,1,6,1380000,76,C,C,3.4,realtor_scraper,2026-05-02T07:06:13+00:00
Daniel Gonzalez,Daniel,Gonzalez,danielgonzalez5@gmail.com,(501) 793-6953,Keller Williams,San Jose,CA,San Jose,CA985327,CA,7,35,26250000,96,A,A,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Timothy Cruz,Timothy,Cruz,timothy.cruz@weichert.com,(317) 307-1719,Weichert Realtors,Miami,FL,Miami,FL175298,FL,6,40,16000000,93,A,A,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Kenneth Flores,Kenneth,Flores,kennethflores59@kw.com,(208) 885-3496,Local Brokerage,Raleigh,NC,Raleigh,NC176319,NC,3,4,1240000,76,B,B,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
David Wood,David,Wood,davidwood61@realtor.com,(408) 225-8431,United Real Estate,Atlanta,GA,Atlanta,GA925521,GA,5,16,5200000,92,A,A,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Anthony Rivera,Anthony,Rivera,arivera@sothebysrealty.com,(716) 723-6973,Windermere Real Estate,Seattle,WA,Seattle,WA186857,WA,6,30,18000000,85,A,A,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Joshua Rogers,Joshua,Rogers,jrogers@outlook.com,(216) 576-6382,Coldwell Banker,Phoenix,AZ,Phoenix,AZ314600,AZ,15,20,9000000,87,A,A,4.6,realtor_scraper,2026-05-02T07:06:13+00:00
William Allen,William,Allen,william_allen@century21.com,(585) 687-1489,Compass,San Jose,CA,San Jose,CA944371,CA,5,8,6000000,86,A,A,3.0,realtor_scraper,2026-05-02T07:06:13+00:00
Laura Hall,Laura,Hall,laurahall16@homesmart.com,(317) 394-9806,ERA Real Estate,San Diego,CA,San Diego,CA190655,CA,5,35,26250000,81,A,A,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Ryan Reyes,Ryan,Reyes,ryanreyes52@compass.com,(208) 490-8897,ERA Real Estate,Baltimore,MD,Baltimore,MD200765,MD,2,15,6375000,79,B,B,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Steven Morales,Steven,Morales,steven_morales@compass.com,(205) 534-2728,RE/MAX,Detroit,MI,Detroit,MI529445,MI,2,10,2750000,60,B,B,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Joseph Baker,Joseph,Baker,josephbaker7@outlook.com,(512) 455-4012,Compass,New Orleans,LA,New Orleans,LA354511,LA,4,10,2300000,61,B,B,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Jessica Wright,Jessica,Wright,jessica.wright@compass.com,(205) 594-4527,Better Homes and Gardens Real Estate,Austin,TX,Austin,TX422422,TX,5,12,4200000,78,A,A,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Eric Nelson,Eric,Nelson,ericnelson@coldwellbanker.com,(415) 569-4149,Corcoran Global Living,San Jose,CA,San Jose,CA300755,CA,8,40,30000000,85,A,A,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Pamela Sanchez,Pamela,Sanchez,pamela_sanchez@aol.com,(804) 608-8061,Local Brokerage,Washington,DC,Washington,DC976169,DC,5,16,11200000,88,A,A,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Benjamin Collins,Benjamin,Collins,benjamincollins53@realtor.com,(916) 738-5189,Weichert Realtors,Seattle,WA,Seattle,WA818997,WA,2,16,9600000,74,A,A,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Ronald Gonzalez,Ronald,Gonzalez,ronaldgonzalez@realtor.com,(303) 539-9018,Berkshire Hathaway HomeServices,Phoenix,AZ,Phoenix,AZ662689,AZ,6,25,11250000,83,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Jason James,Jason,James,jjames@century21.com,(405) 308-2760,Better Homes and Gardens Real Estate,Fayetteville,AR,Fayetteville,AR844232,AR,1,12,2340000,74,C,C,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Christopher Ramos,Christopher,Ramos,christopherramos@outlook.com,(585) 515-8161,ERA Real Estate,Raleigh,NC,Raleigh,NC254450,NC,2,8,2480000,72,B,B,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Samuel Reyes,Samuel,Reyes,samuel.reyes@yahoo.com,(303) 685-3093,Windermere Real Estate,Richmond,VA,Richmond,VA111316,VA,1,10,3750000,80,B,B,4.4,realtor_scraper,2026-05-02T07:06:13+00:00
Kimberly Smith,Kimberly,Smith,kimberlysmith@hotmail.com,(951) 838-4078,Keller Williams,Miami,FL,Miami,FL414096,FL,2,20,8000000,74,A,A,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Ronald Cooper,Ronald,Cooper,ronald_cooper@compass.com,(505) 949-4157,Redfin,Portland,OR,Portland,OR499000,OR,6,20,10000000,87,A,A,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Cynthia Ward,Cynthia,Ward,cward@hotmail.com,(585) 583-9924,Windermere Real Estate,Los Angeles,CA,Los Angeles,CA940263,CA,6,30,22500000,82,A,A,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Kimberly Gray,Kimberly,Gray,kimberly_gray@compass.com,(509) 612-3015,ERA Real Estate,Washington,DC,Washington,DC504938,DC,2,25,17500000,73,A,A,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
Patricia Carter,Patricia,Carter,patricia.carter@kw.com,(412) 614-4723,Better Homes and Gardens Real Estate,Boise,ID,Boise,ID248070,ID,7,20,9500000,95,C,C,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Linda Torres,Linda,Torres,linda.torres@yahoo.com,(214) 672-2870,eXp Realty,Kansas City,MO,Kansas City,MO372202,MO,4,10,2600000,73,B,B,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Pamela Garcia,Pamela,Garcia,pamela.garcia@kw.com,(415) 708-1532,Zillow Premier Agent,Baltimore,MD,Baltimore,MD748990,MD,6,35,14875000,88,B,B,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Christine Cox,Christine,Cox,ccox@outlook.com,(614) 554-7072,Sotheby's International Realty,Boston,MA,Boston,MA137191,MA,4,60,39000000,92,A,A,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
Rachel Lewis,Rachel,Lewis,rachellewis10@remax.com,(702) 534-6093,Sotheby's International Realty,Washington,DC,Washington,DC123776,DC,4,30,21000000,96,A,A,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Brandon Brooks,Brandon,Brooks,brandon.brooks@gmail.com,(410) 415-3747,Compass,Cleveland,OH,Cleveland,OH631796,OH,6,15,3750000,81,B,B,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Emily Chavez,Emily,Chavez,emily.chavez@outlook.com,(513) 850-4413,Keller Williams,Albuquerque,NM,Albuquerque,NM706860,NM,4,12,3300000,73,C,C,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
David Howard,David,Howard,davidhoward@sothebysrealty.com,(615) 236-9126,CBRE,Richmond,VA,Richmond,VA194162,VA,4,12,4500000,64,B,B,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Anthony Ward,Anthony,Ward,anthonyward@hotmail.com,(901) 599-4841,Weichert Realtors,Santa Fe,NM,Santa Fe,NM542068,NM,2,12,3300000,72,C,C,4.6,realtor_scraper,2026-05-02T07:06:13+00:00
Susan Robinson,Susan,Robinson,susanrobinson@exp.com,(619) 671-1778,Compass,Fayetteville,AR,Fayetteville,AR617123,AR,1,6,1170000,61,C,C,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Betty Chavez,Betty,Chavez,betty.chavez@exp.com,(213) 318-9856,Berkshire Hathaway HomeServices,Atlanta,GA,Atlanta,GA408722,GA,2,16,5200000,81,A,A,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Kevin Collins,Kevin,Collins,kevin.collins@remax.com,(312) 880-9825,Century 21,Shreveport,LA,Shreveport,LA936420,LA,4,3,690000,69,C,C,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Sharon Taylor,Sharon,Taylor,sharon_taylor@century21.com,(402) 419-4570,Berkshire Hathaway HomeServices,Fort Wayne,IN,Fort Wayne,IN671399,IN,4,3,720000,82,C,C,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Samantha Thompson,Samantha,Thompson,samantha_thompson@outlook.com,(312) 633-5984,Compass,Asheville,NC,Asheville,NC769585,NC,2,20,6200000,79,C,C,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Deborah Anderson,Deborah,Anderson,deborahanderson@outlook.com,(614) 812-3629,Realty ONE Group,Madison,WI,Madison,WI432330,WI,7,6,1650000,85,C,C,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Pamela Allen,Pamela,Allen,pamela.allen@kw.com,(919) 244-2679,United Real Estate,San Antonio,TX,San Antonio,TX616920,TX,1,4,1400000,67,B,B,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Barbara Howard,Barbara,Howard,bhoward@outlook.com,(504) 336-3891,RE/MAX,Atlanta,GA,Atlanta,GA303377,GA,4,25,8125000,85,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Kathleen Rogers,Kathleen,Rogers,kathleenrogers@coldwellbanker.com,(407) 989-5231,ERA Real Estate,Tampa,FL,Tampa,FL343432,FL,3,35,14000000,74,B,B,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
David Jackson,David,Jackson,djackson@hotmail.com,(402) 798-8283,Corcoran Global Living,Detroit,MI,Detroit,MI653411,MI,7,10,2750000,75,B,B,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Ryan Scott,Ryan,Scott,ryanscott36@remax.com,(317) 279-1368,Windermere Real Estate,San Jose,CA,San Jose,CA833381,CA,12,35,26250000,100,A,A,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Matthew Adams,Matthew,Adams,matthewadams@remax.com,(513) 600-6175,eXp Realty,Asheville,NC,Asheville,NC389122,NC,2,6,1860000,74,C,C,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Amanda Diaz,Amanda,Diaz,amandadiaz12@realtor.com,(716) 631-8548,Berkshire Hathaway HomeServices,Boston,MA,Boston,MA879911,MA,8,12,7800000,70,A,A,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
David Wilson,David,Wilson,dwilson@exp.com,(617) 574-7514,Redfin,Houston,TX,Houston,TX768754,TX,5,25,8750000,79,A,A,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Amanda Moore,Amanda,Moore,amoore@homesmart.com,(716) 478-7227,United Real Estate,Sacramento,CA,Sacramento,CA942872,CA,2,12,9000000,74,B,B,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Karen Phillips,Karen,Phillips,karen_phillips@compass.com,(513) 780-7530,CBRE,Raleigh,NC,Raleigh,NC868962,NC,4,12,3720000,63,B,B,4.0,realtor_scraper,2026-05-02T07:06:13+00:00
Katherine Diaz,Katherine,Diaz,katherinediaz@realtor.com,(865) 856-2387,Local Brokerage,Provo,UT,Provo,UT807807,UT,1,8,4000000,66,C,C,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Dorothy Ward,Dorothy,Ward,dorothy.ward@weichert.com,(202) 730-6198,Berkshire Hathaway HomeServices,Cedar Rapids,IA,Cedar Rapids,IA524827,IA,3,8,1640000,68,C,C,4.6,realtor_scraper,2026-05-02T07:06:13+00:00
Robert Harris,Robert,Harris,robert_harris@century21.com,(901) 608-8359,Sotheby's International Realty,Birmingham,AL,Birmingham,AL183979,AL,10,8,1760000,81,B,B,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Ronald Harris,Ronald,Harris,ronald.harris@gmail.com,(916) 581-7669,CBRE,Fresno,CA,Fresno,CA791000,CA,1,15,11250000,88,B,B,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Brandon Rodriguez,Brandon,Rodriguez,brandonrodriguez@homesmart.com,(585) 263-4701,eXp Realty,Birmingham,AL,Birmingham,AL435551,AL,3,15,3300000,78,B,B,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Nicole Ortiz,Nicole,Ortiz,nicoleortiz33@century21.com,(208) 860-8792,United Real Estate,St. Louis,MO,St. Louis,MO739652,MO,5,10,2600000,80,B,B,4.6,realtor_scraper,2026-05-02T07:06:13+00:00
Debra Jackson,Debra,Jackson,debra.jackson@aol.com,(415) 451-4846,Zillow Premier Agent,Mobile,AL,Mobile,AL845249,AL,3,28,6160000,73,C,C,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Kathleen Turner,Kathleen,Turner,kathleen_turner@gmail.com,(716) 518-1381,Zillow Premier Agent,Boise,ID,Boise,ID598985,ID,6,6,2850000,85,C,C,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Christopher Campbell,Christopher,Campbell,christophercampbell@kw.com,(585) 673-3825,Berkshire Hathaway HomeServices,Boston,MA,Boston,MA205443,MA,6,16,10400000,88,A,A,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Ronald Cooper,Ronald,Cooper,ronaldcooper@century21.com,(205) 609-8160,RE/MAX,Detroit,MI,Detroit,MI151246,MI,5,10,2750000,65,B,B,4.6,realtor_scraper,2026-05-02T07:06:13+00:00
Christine Morgan,Christine,Morgan,christinemorgan@century21.com,(702) 652-8963,CBRE,Orlando,FL,Orlando,FL353446,FL,8,4,1600000,82,B,B,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Christopher Sanchez,Christopher,Sanchez,christophersanchez67@yahoo.com,(414) 870-6336,Weichert Realtors,Portland,OR,Portland,OR361123,OR,5,20,10000000,76,A,A,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Robert Johnson,Robert,Johnson,robertjohnson@homesmart.com,(505) 610-2426,Zillow Premier Agent,Charlotte,NC,Charlotte,NC595168,NC,4,8,2480000,65,B,B,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Brandon Stewart,Brandon,Stewart,bstewart@remax.com,(408) 426-7000,Windermere Real Estate,Memphis,TN,Memphis,TN368317,TN,2,12,3840000,65,B,B,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
Matthew Roberts,Matthew,Roberts,matthewroberts18@homesmart.com,(208) 504-8062,Compass,Houston,TX,Houston,TX185668,TX,8,35,12250000,100,A,A,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Kevin Campbell,Kevin,Campbell,kevincampbell77@realtor.com,(916) 684-6794,Redfin,San Francisco,CA,San Francisco,CA781390,CA,6,25,18750000,100,A,A,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
