name,email,phone,brokerage,metro_area,state,license_number,years_experience,transaction_volume,cream_fit_score,priority_tier,date_added
Richard Taylor,taylorr@sothebysrealty.com,(972) 704-6320,Allie Beth Allman,"Tyler, TX",TX,TREC6589256,10,74,86,C,2026-04-05
James Lewis,james80@expworldholdings.com,(561) 990-3797,Corcoran,"West Palm Beach, FL",FL,BK5261963,20,80,86,B,2026-04-05
Karen Wilson,karenw@kw.com,(828) 964-7570,ERA Real Estate,"Gastonia, NC",NC,NC6744968,12,75,90,C,2026-04-05
Ashley Jimenez,jimeneza@ebbyhalliday.com,(419) 859-2033,Ebby Halliday,"Houston, OH",OH,R.E.6749044,8,21,86,A,2026-04-05
Jeffrey Richardson,jeffrey.richardson1@realtor.com,(347) 683-4995,Sunshine State Properties,"McAllen, NY",NY,104911198791,18,22,93,B,2026-04-05
Jeffrey Clark,jeffrey16@cbrealty.com,(530) 322-8806,Redfin,"Ventura, CA",CA,BRE3257275,25,25,83,C,2026-04-05
Debra Reyes,debra_reyes@windermere.com,(469) 811-1078,Windermere,"Houston, TX",TX,TREC3800096,5,13,64,A,2026-04-05
Frank Morris,frank_morris@gmail.com,(916) 395-2650,Redfin,"Ventura, CA",CA,BRE6347812,2,11,67,C,2026-04-05
Ronald White,ronald_white@elliman.com,(717) 552-4769,Orlando Dream Homes,"Lancaster, PA",PA,RS387820,17,73,98,C,2026-04-05
Jennifer Wilson,jenniferw@elliman.com,(213) 973-9692,Hill Country Real Estate,"Sacramento, CA",CA,BRE8434355,8,23,84,A,2026-04-05
Joseph Adams,joseph.adams6@elliman.com,(252) 634-9347,Compass,"Raleigh, NC",NC,NC4295429,7,30,92,B,2026-04-05
Henry Cruz,henryc@realty.com,(305) 985-3590,William Pitt,"Gainesville, FL",FL,BK9072760,21,42,98,C,2026-04-05
Betty Diaz,bdiaz@gmail.com,(570) 428-4608,Sotheby's International Realty,"York, PA",PA,RS360791,2,7,60,C,2026-04-05
Barbara Martin,barbara.martin@douglaselliman.com,(305) 302-8209,Douglas Elliman,"Sarasota, FL",FL,BK5693209,7,36,84,B,2026-04-05
Jessica Rodriguez,jessica.rodriguez@hotmail.com,(347) 278-2597,Sotheby's International,"Manhattan, NY",NY,104919484275,11,72,97,A,2026-04-05
Brian Parker,parkerb@century21.com,(815) 782-7836,ERA Real Estate,"Naperville, IL",IL,4757782793,5,11,66,A,2026-04-05
Carol Kelly,carol.kelly@kw.com,(559) 737-1243,RE/MAX,"Bakersfield, CA",CA,BRE2448659,21,42,96,B,2026-04-05
Jack Reed,jack.reed@sothebysinternational.com,(570) 880-2796,Sotheby's International,"Fort Worth, PA",PA,RS394679,17,77,98,A,2026-04-05
Stephanie King,stephanie89@erarealestate.com,(561) 755-3329,ERA Real Estate,"Fort Lauderdale, FL",FL,BK6362058,14,56,95,A,2026-04-05
Peter Campbell,campbellp@expworldholdings.com,(347) 969-5915,Nicholas Realty,"El Paso, NY",NY,104919386792,10,65,93,B,2026-04-05
Edward Johnson,ejohnson@century21.com,(904) 784-5097,RE/MAX,"Fort Lauderdale, FL",FL,BK1707643,10,46,91,A,2026-04-05
Catherine Lee,catherine_lee@gmail.com,(530) 926-1814,Berkshire Hathaway,"San Jose, CA",CA,BRE9260065,19,49,94,A,2026-04-05
Lisa Ward,wardl@hotmail.com,(631) 651-4352,John L. Scott,"Corpus Christi, NY",NY,104919534251,22,45,93,B,2026-04-05
Nicole Ward,nicole.ward@berkshirehathaway.com,(956) 528-5569,Ebby Halliday,"El Paso, TX",TX,TREC6321501,21,51,87,B,2026-04-05
Jerry Martin,jerrym@elliman.com,(415) 760-7058,Tampa Bay Elite,"Riverside, CA",CA,BRE2656690,7,19,80,B,2026-04-05
Emily Wilson,emilyw@cbrealty.com,(718) 406-1308,Berkshire Hathaway HomeServices,"Beaumont, NY",NY,104918904184,8,17,84,C,2026-04-05
Joe Murphy,murphyj@realty.com,(828) 963-2005,Orlando Dream Homes,"Durham, NC",NC,NC1369970,7,16,86,B,2026-04-05
Helen Morales,moralesh@century21.com,(805) 210-8546,Halstead,"Ventura, CA",CA,BRE8699873,23,49,93,C,2026-04-05
Betty Jimenez,betty.jimenez1@compass.com,(847) 451-3671,Orlando Dream Homes,"Waco, IL",IL,4756816049,19,29,91,C,2026-04-05
Pamela Jenkins,pamela.jenkins@realty.com,(937) 832-7977,Austin Home Girls,"Canton, OH",OH,R.E.7365465,14,69,93,C,2026-04-05
Amanda Thomas,amanda.thomas@gmail.com,(915) 352-1704,Julie Harris Realty,"Lubbock, TX",TX,TREC4894424,22,76,98,B,2026-04-05
Jason Campbell,campbellj@briggsfreeman.com,(929) 253-2391,Briggs Freeman,"Queens, NY",NY,104913745788,22,65,96,A,2026-04-05
Raymond Walker,walkerr@sothebysinternationalrealty.com,(914) 740-3261,Sotheby's International Realty,"Tyler, NY",NY,104917617759,3,10,76,C,2026-04-05
Ashley Kelly,ashley81@kw.com,(559) 383-4406,Dave Perry Miller,"San Jose, CA",CA,BRE3912090,23,75,95,A,2026-04-05
Angela Rodriguez,angela.rodriguez@douglaselliman.com,(520) 274-2797,Douglas Elliman,"Fort Worth, AZ",AZ,AZ9936723,1,11,70,A,2026-04-05
Kathryn Chavez,kathryn.chavez7@sothebysrealty.com,(828) 533-1652,JP & Associates,"San Antonio, NC",NC,NC7167409,25,31,97,A,2026-04-05
Jennifer Jenkins,jennifer8@redfin.com,(872) 682-4344,Hill Country Real Estate,"Amarillo, IL",IL,4758544612,24,67,99,B,2026-04-05
Samantha Harris,samantha.harris@compass.com,(415) 738-4509,Compass,"Sacramento, CA",CA,BRE7527037,7,28,80,A,2026-04-05
Ronald Castillo,ronald.castillo@expworldholdings.com,(678) 509-8286,Miami Beach Realty,"Savannah, GA",GA,GA6205230,19,26,81,B,2026-04-05
Maria Garcia,mgarcia@cbrealty.com,(623) 537-6037,Austin Home Girls,"Gilbert, AZ",AZ,AZ2396570,6,22,75,C,2026-04-05
Donald Brooks,donald_brooks@sothebysrealty.com,(513) 209-4831,Halstead,"Toledo, OH",OH,R.E.1746572,17,38,89,B,2026-04-05
Richard Ramirez,richard35@elliman.com,(740) 320-9646,Dave Perry Miller,"Cincinnati, OH",OH,R.E.4595184,20,52,92,B,2026-04-05
Tyler Alvarez,alvarezt@julieharrisrealty.com,(623) 410-8565,Julie Harris Realty,"Fort Worth, AZ",AZ,AZ2622207,5,7,69,A,2026-04-05
Juan Lopez,juan.lopez@realtor.com,(559) 345-4255,Compass,"Riverside, CA",CA,BRE9377297,18,64,86,B,2026-04-05
Dorothy Jimenez,dorothyj@sunshinestateproperties.com,(919) 479-1215,Sunshine State Properties,"Asheville, NC",NC,NC6813333,17,56,93,C,2026-04-05
Judy Moore,judy.moore5@realtor.com,(972) 233-1334,Sotheby's International Realty,"Fort Worth, TX",TX,TREC2349976,1,7,69,A,2026-04-05
Margaret Perry,margaret65@expworldholdings.com,(602) 774-7345,Compass,"Tempe, AZ",AZ,AZ9930290,24,35,86,B,2026-04-05
Debra Foster,debra.foster@ebbyhalliday.com,(912) 304-2954,Ebby Halliday,"Athens, GA",GA,GA6524802,2,3,70,B,2026-04-05
Jason Edwards,edwardsj@houstonluxuryhomes.com,(678) 215-9919,Houston Luxury Homes,"Atlanta, GA",GA,GA6461236,0,13,69,B,2026-04-05
Maria Kelly,maria.kelly@realty.com,(727) 811-2821,Douglas Elliman,"St. Petersburg, FL",FL,BK8978722,19,33,86,B,2026-04-05
Betty Sanchez,bettys@remax.net,(210) 521-3067,Century 21,"Dallas, TX",TX,TREC6464795,17,50,91,A,2026-04-05
Catherine Bailey,catherine.bailey7@kw.com,(912) 680-2138,Windermere,"San Antonio, GA",GA,GA4111848,23,65,93,A,2026-04-05
Nancy Richardson,nancyr@yahoo.com,(412) 771-2217,Keller Williams,"Bethlehem, PA",PA,RS335710,3,17,81,C,2026-04-05
Eric Anderson,eanderson@yahoo.com,(858) 924-7942,Houston Luxury Homes,"San Jose, CA",CA,BRE3620285,9,40,94,A,2026-04-05
Donna Castillo,castillod@austinhomegirls.com,(912) 239-7321,Austin Home Girls,"Atlanta, GA",GA,GA8485378,15,34,94,B,2026-04-05
Donna Cruz,donna_cruz@outlook.com,(714) 498-7818,Tampa Bay Elite,"Stockton, CA",CA,BRE5692664,20,32,86,B,2026-04-05
Sharon Campbell,campbells@halstead.com,(419) 643-1278,Halstead,"Dallas, OH",OH,R.E.1387045,13,55,86,A,2026-04-05
Bryan James,jamesb@realtor.com,(305) 433-5744,Keller Williams,"Ocala, FL",FL,BK8368411,23,60,85,C,2026-04-05
Jessica White,jwhite@realtor.com,(618) 489-2843,Corcoran,"McAllen, IL",IL,4754899343,21,68,91,B,2026-04-05
Gary Sanchez,gary.sanchez@realty.com,(980) 980-5262,Windermere,"Dallas, NC",NC,NC5934710,0,5,60,A,2026-04-05
Barbara Foster,barbara79@expworldholdings.com,(336) 518-9737,Berkshire Hathaway HomeServices,"Austin, NC",NC,NC9147180,22,39,95,A,2026-04-05
David Carter,david.carter@expworldholdings.com,(704) 898-1735,Windermere,"San Antonio, NC",NC,NC6426093,6,22,81,A,2026-04-05
Edward Anderson,edward.anderson@austinhomegirls.com,(602) 825-5676,Austin Home Girls,"Austin, AZ",AZ,AZ1627988,15,59,86,A,2026-04-05
Barbara Torres,barbara.torres@cbrealty.com,(850) 414-9351,Realty ONE Group,"Sarasota, FL",FL,BK2785939,11,63,94,B,2026-04-05
Susan Rodriguez,susan.rodriguez7@johnl.scott.com,(224) 495-6209,John L. Scott,"Beaumont, IL",IL,4756063141,10,40,86,C,2026-04-05
Raymond Morgan,raymondm@realty.com,(404) 330-1116,Dave Perry Miller,"Houston, GA",GA,GA8638802,15,47,85,A,2026-04-05
Jennifer Baker,jennifer.baker@icloud.com,(559) 399-8657,eXp Realty,"Los Angeles, CA",CA,BRE9439374,22,29,92,A,2026-04-05
Patricia Thompson,patricia.thompson3@berkshirehathaway.com,(330) 617-6509,Realty ONE Group,"Cleveland, OH",OH,R.E.2847287,1,5,64,B,2026-04-05
Susan Rogers,susan.rogers@compass.com,(850) 259-4543,eXp Realty,"West Palm Beach, FL",FL,BK1619423,20,23,83,B,2026-04-05
Betty Gutierrez,betty.gutierrez@kw.com,(312) 352-2771,The Agency,"Schaumburg, IL",IL,4758195245,16,24,95,A,2026-04-05
Jeffrey Morgan,morganj@hotmail.com,(480) 886-6987,Sotheby's International,"Tempe, AZ",AZ,AZ8960620,24,35,87,B,2026-04-05
Deborah Williams,deborahw@icloud.com,(336) 210-9471,William Pitt,"Austin, NC",NC,NC8698250,1,2,62,A,2026-04-05
Rachel Morgan,rmorgan@cbrealty.com,(805) 877-1744,Long & Foster,"San Jose, CA",CA,BRE4887038,13,73,94,A,2026-04-05
Robert Gray,robert_gray@nicholasrealty.com,(817) 899-2044,Nicholas Realty,"Austin, TX",TX,TREC1355506,17,27,92,A,2026-04-05
Michelle Lewis,michellel@thecollective.com,(239) 557-1957,The Collective,"Gainesville, FL",FL,BK8284749,23,47,87,C,2026-04-05
Christine Cooper,cooperc@rogershealy.com,(626) 947-4547,Rogers Healy,"Sacramento, CA",CA,BRE8886057,2,2,60,A,2026-04-05
Christine Wright,christine.wright7@jpassociates.com,(714) 272-8638,JP & Associates,"Fresno, CA",CA,BRE9213028,24,38,86,B,2026-04-05
Sharon Perry,sharon.perry8@expworldholdings.com,(214) 978-4803,eXp Realty,"Beaumont, TX",TX,TREC4358584,20,25,81,C,2026-04-05
Donna Evans,donna.evans3@redfin.com,(928) 894-2916,Berkshire Hathaway,"Scottsdale, AZ",AZ,AZ5743334,18,45,97,B,2026-04-05
Patricia Price,patricia.price@century21.com,(470) 668-3889,Realty ONE Group,"Fort Worth, GA",GA,GA8787982,20,73,97,A,2026-04-05
Peter Ramos,peterr@berkshirehathaway.com,(910) 736-8485,Berkshire Hathaway,"Austin, NC",NC,NC7304745,8,25,83,A,2026-04-05
Kathleen Murphy,kathleenm@williampitt.com,(602) 554-6415,William Pitt,"Phoenix, AZ",AZ,AZ2064173,15,81,92,B,2026-04-05
Ashley Evans,ashley.evans8@berkshirehathaway.com,(904) 348-2647,Nicholas Realty,"Lakeland, FL",FL,BK5595489,0,8,60,C,2026-04-05
Samantha Richardson,srichardson@kw.com,(602) 747-6596,Realty ONE Group,"Gilbert, AZ",AZ,AZ4976032,3,15,72,C,2026-04-05
Jonathan Hill,hillj@yahoo.com,(915) 656-8424,Sotheby's International,"Fort Worth, TX",TX,TREC6113872,18,60,87,A,2026-04-05
Terry Cruz,terry.cruz@kellerwilliams.com,(512) 736-8632,Keller Williams,"Waco, TX",TX,TREC7060579,3,17,80,C,2026-04-05
Pamela Long,pamelal@redfin.com,(773) 915-1992,Long & Foster,"Oak Park, IL",IL,4755994145,10,79,94,A,2026-04-05
Debra Ramos,ramosd@sothebysrealty.com,(469) 816-9204,Sotheby's International Realty,"Odessa, TX",TX,TREC7620242,8,12,74,C,2026-04-05
Jeffrey Ruiz,jeffrey_ruiz@elliman.com,(210) 510-4468,Realty ONE Group,"Tyler, TX",TX,TREC5114858,22,44,95,C,2026-04-05
Judy Jones,judy.jones5@cbrealty.com,(513) 834-2947,Century 21,"Columbus, OH",OH,R.E.2270301,25,32,100,B,2026-04-05
Eric Walker,ericw@sothebysrealty.com,(484) 762-9171,Compass,"Philadelphia, PA",PA,RS324868,0,9,66,B,2026-04-05
Helen Parker,helen.parker@redfin.com,(267) 480-2528,Julie Harris Realty,"Lancaster, PA",PA,RS306906,13,49,90,C,2026-04-05
Sarah Gonzalez,sarah.gonzalez@icloud.com,(520) 841-5609,Nicholas Realty,"Austin, AZ",AZ,AZ5890333,9,21,76,A,2026-04-05
Nancy Campbell,nancyc@hotmail.com,(984) 453-9385,Compass,"Wilmington, NC",NC,NC2085776,21,51,97,C,2026-04-05
Virginia Russell,virginia96@brownharrisstevens.com,(737) 492-4092,Brown Harris Stevens,"Tyler, TX",TX,TREC9686662,3,17,72,C,2026-04-05
Helen Castillo,helen55@kw.com,(814) 735-5148,Ebby Halliday,"Scranton, PA",PA,RS359953,5,25,76,C,2026-04-05
Samuel Bailey,sbailey@coldwellbanker.com,(817) 867-2992,Coldwell Banker,"Fort Worth, TX",TX,TREC7964492,20,44,91,A,2026-04-05
Ryan Cox,coxr@sunshinestateproperties.com,(941) 635-2249,Sunshine State Properties,"Orlando, FL",FL,BK9555457,17,39,96,A,2026-04-05
Paul Roberts,robertsp@briggsfreeman.com,(858) 788-1281,Briggs Freeman,"Los Angeles, CA",CA,BRE5266176,11,59,92,A,2026-04-05
Matthew Turner,turnerm@kw.com,(814) 211-2554,Berkshire Hathaway,"Dallas, PA",PA,RS365373,9,18,87,A,2026-04-05
Benjamin Martin,bmartin@compass.com,(919) 608-3168,Brown Harris Stevens,"Fort Worth, NC",NC,NC9181547,21,80,94,A,2026-04-05
Arthur Russell,arthur_russell@realtor.com,(872) 802-3450,Julie Harris Realty,"Beaumont, IL",IL,4755572310,1,7,67,C,2026-04-05
Michael Bailey,michael_bailey@compass.com,(623) 705-4794,RE/MAX,"Mesa, AZ",AZ,AZ9652661,10,27,80,B,2026-04-05
Nancy Green,nancy35@longfoster.com,(928) 349-8894,Long & Foster,"Mesa, AZ",AZ,AZ6486458,14,62,95,B,2026-04-05
Kenneth Thompson,thompsonk@compass.com,(806) 675-1631,John L. Scott,"San Antonio, TX",TX,TREC2976293,21,23,81,A,2026-04-05
Brenda Price,brenda.price@cbrealty.com,(484) 982-6234,Redfin,"Philadelphia, PA",PA,RS356313,15,25,94,B,2026-04-05
Tyler Jones,tyler.jones1@yahoo.com,(707) 847-1726,Keller Williams,"San Francisco, CA",CA,BRE5157549,6,30,86,A,2026-04-05
Cynthia Kelly,ckelly@brownharrisstevens.com,(570) 922-1005,Brown Harris Stevens,"Austin, PA",PA,RS375333,0,1,69,A,2026-04-05
Susan Bailey,susanb@brownharrisstevens.com,(440) 798-9582,Brown Harris Stevens,"Fort Worth, OH",OH,R.E.5775832,3,3,77,A,2026-04-05
Kathleen Kelly,kathleen55@gmail.com,(805) 992-4102,Miami Beach Realty,"Ventura, CA",CA,BRE2966245,24,43,86,C,2026-04-05
Mark Evans,mark.evans@hillcountryrealestate.com,(512) 921-7335,Hill Country Real Estate,"Waco, TX",TX,TREC5580014,16,23,89,C,2026-04-05
Joshua Russell,joshuar@realtor.com,(330) 656-5289,Houston Luxury Homes,"Dallas, OH",OH,R.E.1896549,8,41,83,A,2026-04-05
Anna Morales,anna14@cbrealty.com,(858) 923-2233,ERA Real Estate,"Santa Rosa, CA",CA,BRE8621739,9,10,82,C,2026-04-05
Bradley Mitchell,bradley.mitchell@kw.com,(770) 212-1322,Windermere,"Albany, GA",GA,GA6115764,10,60,96,C,2026-04-05
Carolyn Phillips,carolyn_phillips@re/max.com,(713) 528-8544,RE/MAX,"San Antonio, TX",TX,TREC8416404,4,11,75,A,2026-04-05
Linda Perry,linda_perry@redfin.com,(336) 842-2056,Houston Luxury Homes,"Durham, NC",NC,NC2464435,3,8,63,B,2026-04-05
Peter Bennett,peterb@cbrealty.com,(229) 254-8089,Corcoran,"Augusta, GA",GA,GA5705589,22,53,90,B,2026-04-05
David Nelson,nelsond@erarealestate.com,(404) 590-1007,ERA Real Estate,"Fort Worth, GA",GA,GA3496243,2,4,65,A,2026-04-05
Patrick Torres,torresp@outlook.com,(847) 565-4983,Miami Beach Realty,"Corpus Christi, IL",IL,4751442667,2,12,62,B,2026-04-05
Elizabeth Bennett,ebennett@kw.com,(312) 906-9469,Hill Country Real Estate,"Chicago, IL",IL,4751938231,25,49,100,A,2026-04-05
Rebecca Lee,rebecca.lee@remax.net,(520) 258-6726,Realty ONE Group,"San Antonio, AZ",AZ,AZ2807411,0,7,60,A,2026-04-05
Ruth Williams,ruth.williams3@icloud.com,(828) 637-4163,Briggs Freeman,"Greensboro, NC",NC,NC1807956,1,10,63,B,2026-04-05
Virginia Mendoza,virginiam@sothebysinternationalrealty.com,(347) 281-6942,Sotheby's International Realty,"Corpus Christi, NY",NY,104913912436,22,56,88,B,2026-04-05
Larry Martin,larry_martin@austinhomegirls.com,(520) 818-4119,Austin Home Girls,"Mesa, AZ",AZ,AZ9682373,7,25,88,B,2026-04-05
Rachel Sanchez,rachel.sanchez@hotmail.com,(214) 668-3415,The Agency,"Dallas, TX",TX,TREC9229497,22,69,90,A,2026-04-05
Rachel Long,longr@gmail.com,(470) 829-1624,Nicholas Realty,"Marietta, GA",GA,GA7428437,20,73,91,B,2026-04-05
Susan Kelly,susank@julieharrisrealty.com,(928) 578-9897,Julie Harris Realty,"Surprise, AZ",AZ,AZ9397457,6,27,76,C,2026-04-05
Bradley Reed,bradley.reed@kw.com,(714) 952-4286,Compass,"Santa Barbara, CA",CA,BRE4079413,24,69,94,C,2026-04-05
Edward Rivera,edward.rivera8@ebbyhalliday.com,(972) 311-3079,Ebby Halliday,"San Antonio, TX",TX,TREC7783182,6,25,86,A,2026-04-05
Nancy Castillo,nancy.castillo@century21.com,(415) 481-2457,Berkshire Hathaway HomeServices,"Modesto, CA",CA,BRE4883951,24,80,94,C,2026-04-05
Brenda Gomez,brenda_gomez@gmail.com,(561) 666-1268,Realty ONE Group,"St. Petersburg, FL",FL,BK9857942,6,41,94,B,2026-04-05
Bryan Baker,bryan76@cbrealty.com,(858) 744-8791,Long & Foster,"Santa Cruz, CA",CA,BRE1724473,7,17,85,C,2026-04-05
Jerry Rodriguez,rodriguezj@kw.com,(740) 648-5685,Keller Williams,"Cleveland, OH",OH,R.E.3663207,17,41,93,B,2026-04-05
Emily King,emilyk@icloud.com,(212) 995-3882,Realty ONE Group,"Manhattan, NY",NY,104918849658,2,1,67,A,2026-04-05
Anna Morales,anna.morales1@realtor.com,(229) 791-3579,Hill Country Real Estate,"Houston, GA",GA,GA3112258,6,30,89,A,2026-04-05
Jason Sanchez,jsanchez@outlook.com,(713) 532-4524,Orlando Dream Homes,"Lubbock, TX",TX,TREC9917933,6,24,89,B,2026-04-05
Amanda Anderson,amanda.anderson@windermere.com,(216) 581-7349,Windermere,"Canton, OH",OH,R.E.3843982,6,35,85,C,2026-04-05
Steven Flores,floress@century21.com,(937) 275-4929,William Pitt,"Cincinnati, OH",OH,R.E.8913897,16,65,90,B,2026-04-05
Sandra Lopez,sandra.lopez@realtor.com,(310) 487-4540,Miami Beach Realty,"Sacramento, CA",CA,BRE8720992,17,66,88,A,2026-04-05
Sandra Watson,sandraw@halstead.com,(914) 474-7745,Halstead,"Odessa, NY",NY,104912474458,12,45,100,C,2026-04-05
Nicole Garcia,ngarcia@elliman.com,(713) 308-4392,Dave Perry Miller,"McAllen, TX",TX,TREC1245142,14,70,93,B,2026-04-05
Donald Lewis,donald.lewis4@realogicssothebys.com,(917) 600-9450,Realogics Sotheby's,"Brooklyn, NY",NY,104911972191,17,34,88,A,2026-04-05
Shirley Hill,shirley.hill6@realty.com,(619) 570-4073,Dave Perry Miller,"Santa Rosa, CA",CA,BRE5074418,11,76,86,C,2026-04-05
Frank Murphy,murphyf@realtyonegroup.com,(347) 802-4585,Realty ONE Group,"Waco, NY",NY,104913028355,16,51,90,C,2026-04-05
Rebecca Kim,rkim@gmail.com,(610) 690-8284,Keller Williams,"Fort Worth, PA",PA,RS332100,6,33,91,A,2026-04-05
Peter Cook,peter_cook@re/max.com,(941) 595-4439,RE/MAX,"Gainesville, FL",FL,BK6040585,13,27,87,C,2026-04-05
Samuel Young,samuel.young@nicholasrealty.com,(929) 843-3502,Nicholas Realty,"Lubbock, NY",NY,104912188859,3,8,71,B,2026-04-05
Maria Richardson,richardsonm@sothebysrealty.com,(847) 831-7737,Better Homes & Gardens,"Chicago, IL",IL,4753203574,5,15,68,A,2026-04-05
Jessica Wilson,jessica_wilson@century21.com,(916) 267-3939,Redfin,"Santa Rosa, CA",CA,BRE1330196,4,12,68,C,2026-04-05
Bryan Mendoza,mendozab@realty.com,(814) 840-1741,Sotheby's International Realty,"Erie, PA",PA,RS399071,20,51,95,B,2026-04-05
Ruth Ortiz,rortiz@halstead.com,(520) 243-8956,Halstead,"Peoria, AZ",AZ,AZ7341568,16,64,93,C,2026-04-05
Nancy James,njames@berkshirehathaway.com,(623) 802-4938,Briggs Freeman,"Austin, AZ",AZ,AZ7907781,0,5,64,A,2026-04-05
Jeffrey Walker,jeffreyw@hotmail.com,(704) 485-8461,Austin Home Girls,"Charlotte, NC",NC,NC2697012,14,48,97,B,2026-04-05
Nicholas Allen,nicholasa@hotmail.com,(412) 334-4841,Compass,"Austin, PA",PA,RS320365,20,41,92,A,2026-04-05
Ryan Ramos,ryan_ramos@sothebysinternationalrealty.com,(717) 996-3535,Sotheby's International Realty,"Houston, PA",PA,RS330625,25,80,88,A,2026-04-05
Mark Williams,markw@realtor.com,(336) 671-7997,Berkshire Hathaway HomeServices,"Asheville, NC",NC,NC6014407,25,43,91,C,2026-04-05
Samantha Carter,samantha.carter2@rogershealy.com,(478) 718-2005,Rogers Healy,"Roswell, GA",GA,GA2018346,9,17,76,C,2026-04-05
Stephanie Rodriguez,stephanier@redfin.com,(815) 311-1169,Century 21,"Oak Park, IL",IL,4759836818,14,64,93,A,2026-04-05
Donna Phillips,dphillips@cbrealty.com,(478) 378-7612,ERA Real Estate,"Albany, GA",GA,GA5352296,25,46,94,C,2026-04-05
Brenda King,brenda_king@realty.com,(512) 793-1941,Julie Harris Realty,"Austin, TX",TX,TREC4076799,17,76,98,A,2026-04-05
Virginia Campbell,campbellv@cbrealty.com,(478) 679-8757,Berkshire Hathaway,"Fort Worth, GA",GA,GA9347975,18,26,91,A,2026-04-05
Sandra Bennett,sandra.bennett1@kw.com,(469) 834-1599,Tampa Bay Elite,"Corpus Christi, TX",TX,TREC2417333,18,42,92,B,2026-04-05
Ruth Scott,ruth.scott4@miamibeachrealty.com,(626) 426-3016,Miami Beach Realty,"Ventura, CA",CA,BRE4956955,16,69,87,C,2026-04-05
Jacob Stewart,jacob.stewart9@houstonluxuryhomes.com,(786) 707-4259,Houston Luxury Homes,"Lakeland, FL",FL,BK1115762,19,49,88,C,2026-04-05
Jonathan Robinson,jonathanr@expworldholdings.com,(610) 331-4431,Keller Williams,"Austin, PA",PA,RS387499,11,49,89,A,2026-04-05
Patricia Jimenez,patricia.jimenez@realtor.com,(770) 218-4362,Keller Williams,"Macon, GA",GA,GA1162598,16,34,88,C,2026-04-05
Sharon Foster,sharon_foster@sothebysrealty.com,(914) 915-9334,Brown Harris Stevens,"New York City, NY",NY,104918670155,23,79,92,A,2026-04-05
Janet Baker,janet_baker@brownharrisstevens.com,(386) 757-2036,Brown Harris Stevens,"Orlando, FL",FL,BK5011468,23,44,96,A,2026-04-05
Jerry Reyes,jreyes@hotmail.com,(706) 836-7549,Tampa Bay Elite,"Athens, GA",GA,GA2085649,5,9,71,B,2026-04-05
Stephen Lewis,lewiss@elliman.com,(872) 788-4872,Brown Harris Stevens,"Chicago, IL",IL,4752534105,6,35,81,A,2026-04-05
Michael Ortiz,michael.ortiz@redfin.com,(928) 671-8392,Redfin,"San Antonio, AZ",AZ,AZ5440218,3,17,72,A,2026-04-05
Barbara Phillips,bphillips@yahoo.com,(828) 740-7170,Nicholas Realty,"Wilmington, NC",NC,NC5782677,7,36,85,C,2026-04-05
Larry Price,pricel@outlook.com,(718) 992-2005,Sotheby's International,"Lubbock, NY",NY,104917350325,10,33,90,B,2026-04-05
James Ramos,james.ramos@realtor.com,(773) 467-1798,William Pitt,"Corpus Christi, IL",IL,4752995528,1,9,60,B,2026-04-05
Amy Davis,amy_davis@icloud.com,(929) 748-5190,Tampa Bay Elite,"Long Island, NY",NY,104916738158,19,46,92,A,2026-04-05
Catherine Murphy,catherine20@gmail.com,(484) 283-3974,ERA Real Estate,"Harrisburg, PA",PA,RS393587,20,39,96,B,2026-04-05
Robert Perry,robertp@sothebysrealty.com,(216) 691-1687,eXp Realty,"Dayton, OH",OH,R.E.1453041,0,6,69,B,2026-04-05
Ryan Turner,rturner@erarealestate.com,(937) 591-7053,ERA Real Estate,"Houston, OH",OH,R.E.9079903,12,50,92,A,2026-04-05
Barbara Cooper,bcooper@realtor.com,(305) 670-4123,Sunshine State Properties,"Daytona Beach, FL",FL,BK5991628,24,32,87,C,2026-04-05
Ashley Sanchez,ashleys@expworldholdings.com,(805) 550-1829,Sotheby's International Realty,"Stockton, CA",CA,BRE4931992,3,16,80,B,2026-04-05
Amanda Carter,amanda.carter@cbrealty.com,(630) 624-4103,Long & Foster,"Midland, IL",IL,4752099257,15,59,90,C,2026-04-05
Michelle Robinson,michelle_robinson@daveperrymiller.com,(941) 212-4035,Dave Perry Miller,"Fort Lauderdale, FL",FL,BK6886418,10,75,91,A,2026-04-05
Linda Cook,linda.cook3@realtor.com,(805) 864-2629,Miami Beach Realty,"San Diego, CA",CA,BRE3175653,22,45,96,A,2026-04-05
Stephen Johnson,stephen.johnson@century21.com,(602) 943-6735,eXp Realty,"Glendale, AZ",AZ,AZ6511359,11,77,98,C,2026-04-05
Rachel Collins,rachelc@johnl.scott.com,(631) 706-9494,John L. Scott,"Lubbock, NY",NY,104912670339,19,82,88,B,2026-04-05
Peter Parker,peter97@redfin.com,(623) 706-8766,RE/MAX,"Dallas, AZ",AZ,AZ5927777,13,69,95,A,2026-04-05
John Wilson,john_wilson@remax.net,(480) 213-6801,Rogers Healy,"Scottsdale, AZ",AZ,AZ7991621,25,50,86,B,2026-04-05
Joseph Williams,williamsj@cbrealty.com,(570) 786-4949,Halstead,"Austin, PA",PA,RS324493,20,74,87,A,2026-04-05
Stephanie Powell,spowell@century21.com,(520) 471-7559,Julie Harris Realty,"Tempe, AZ",AZ,AZ2219867,21,35,92,B,2026-04-05
